rn	auc	thresh	direction	Group	alpha
ID3	54.4584328196224	-0.630403456329877	greater	10	0
MGST1	74.8686780985457	-0.249021344043727	less	10	0
FOSB	54.6212285652268	-0.891489733596845	less	10	0
OMG	76.861298024745	-0.150798012475303	less	10	0
C10orf10	67.3627089212069	-0.682920147120803	less	10	0
CXCL3	65.9132841328413	-0.379976024050687	less	10	0
COL6A3	67.2509225092251	-0.30357348559889	less	10	0
GAPDH	72.7859778597786	1.05659364120444	greater	10	0
CKS2	82.9438897330144	0.139489716018742	greater	10	0
COL6A2	52.2704579986976	0.306524769261184	less	10	0
GLIPR1	73.9537660082485	0.332084049089127	greater	10	0
FAM211A	56.0413501193835	-0.720239088740278	less	10	0
PSAP	74.194703711743	-0.854393360557283	less	10	0
PLK1	77.1548730193179	0.763894646824724	greater	10	0
CRTAC1	77.7903190796614	-0.58977446365212	less	10	0
FGF5	52.2161927501631	-0.0566798518338932	greater	10	0
CLDN11	73.1338181028869	-0.650459068716432	less	10	0
LAMP5	75.8139787280226	-0.336168599844312	less	10	0
TPM1	70.0933362274798	1.21994840468291	greater	10	0
IFI6	62.4028652051226	-0.852111186302239	less	10	0
TUBA1C	88.8332971565009	1.63453797670763	greater	10	0
NEK2	77.9286954634254	1.00440984811746	greater	10	0
STC1	58.0100933362275	-0.63495540439699	less	10	0
B2M	65.9084002604732	-0.0162413771791801	less	10	0
AC131025.8	69.0910570870414	-0.330635463807294	less	10	0
ITGB8	78.246147167354	-0.804655423683336	less	10	0
PMP22	81.4792706750597	-1.84426035786421	less	10	0
PLAT	68.8919036249186	-0.908083009020648	less	10	0
TMEM47	57.2107662253093	-0.51027281452986	less	10	0
FAM83D	81.96928586933	0.803491595581037	greater	10	0
NUSAP1	85.6262209680915	0.257070462880132	greater	10	0
ARL4C	80.9013457781637	-0.948953888005901	less	10	0
PCOLCE	54.3466464076405	-0.808508092871492	less	10	0
LGALS3	83.7638376383764	-1.29304003306088	less	10	0
NOV	53.3557629693944	-0.843708373840343	less	10	0
TGFBR1	61.7126112437595	-0.94936634197872	less	10	0
ZFP36L2	50.9914260907317	-0.185291360967786	greater	10	0
TIMP1	69.831777729542	-0.484965093546847	less	10	0
JAG1	70.2664423703062	0.617354525727717	greater	10	0
BST2	67.6492294334708	-0.779543701559392	less	10	0
CSTB	79.0036900369004	-1.13868662827602	less	10	0
CXCL14	63.8577165183417	-0.209732669602712	less	10	0
LMO7	75.0336444540919	0.13979089802802	greater	10	0
PRELP	66.9557195571956	-0.772056763978947	less	10	0
COL14A1	50.3397004558279	-0.271210124754863	greater	10	0
TXNIP	73.2982418059475	-1.14284293023096	less	10	0
ZC3HAV1	56.2584111135229	-0.788064417199119	less	10	0
SERINC2	60.1188408942913	-0.527621143857815	less	10	0
COL12A1	66.2481007163013	-0.506259246703888	less	10	0
TK1	86.2600390709782	0.633520051612847	greater	10	0
CEBPD	84.3992836987194	-1.19120851077748	less	10	0
BASP1	78.0746689819825	1.76778629096741	greater	10	0
TUBA1B	88.9808986325158	1.56211179228981	greater	10	0
MBP	81.2589537660083	-1.24557783314923	less	10	0
MFAP4	73.7171695246364	-0.196892386183566	less	10	0
DDIT4	65.2745821575863	-0.863069400208562	less	10	0
TNC	51.1829824180593	-0.151420073812338	greater	10	0
ANLN	91.3891903624896	0.486317115114918	greater	10	0
IL7R	55.5882352941177	0.246777631367391	greater	10	0
NLRP1	66.3848491426091	-0.651030826490388	less	10	0
SORBS2	83.5402648144128	-1.37532190123443	less	10	0
DEPDC1	73.5028217929236	0.438737446817034	greater	10	0
CCNB2	75.8438246147171	0.517343516001125	greater	10	0
ITGA2	67.6155849793798	-0.260769339020451	greater	10	0
PTGR1	56.5454742782722	-0.655146901139545	less	10	0
S100A6	56.2524419361841	0.0677409707067651	less	10	0
PRC1	87.1092902105472	0.40096480424428	greater	10	0
USP53	66.0603429563707	-0.723833053301416	less	10	0
PHLDA2	74.6581289342303	1.36481688155138	greater	10	0
LDHA	71.1037551551981	-0.104602801276549	greater	10	0
COL4A2	54.9804645105274	0.0713341907311302	greater	10	0
HSP90B1	63.4295637074013	-0.0473039337518604	greater	10	0
LOXL2	55.6359887128283	-0.397901563761121	greater	10	0
NQO1	59.6646407640547	-0.623370071514055	less	10	0
TXN	64.2348599956587	0.262322624272635	greater	10	0
LGALS1	72.7403950510091	0.603905895120764	greater	10	0
VGLL3	65.6549815498153	0.413146756246707	greater	10	0
RCAN1	63.4132841328413	-1.07873331381691	less	10	0
TXNRD1	56.7120685912742	0.429896480251154	less	10	0
SAT1	72.8217929238116	-1.05696056461223	less	10	0
MMP2	79.604406338181	-0.685992528185261	less	10	0
CAPG	53.6531365313653	-0.643009001830226	less	10	0
AEBP1	81.4738441502062	-1.48501562957122	less	10	0
FABP5	55.9442153245058	-0.184200867809213	greater	10	0
TUBA1A	67.0295202952029	-1.04432529959043	less	10	0
MIR145	69.1621445626221	-0.31399439521356	less	10	0
HMGB2	85.6783156066859	0.980795085208386	greater	10	0
NUPR1	82.186889515954	-1.03718968534654	less	10	0
CTSL	58.7144562622097	-0.266228918226247	less	10	0
ADAMTS1	63.844150206208	-0.781968729363338	less	10	0
CALR	74.4302148903832	0.885640263169657	greater	10	0
GPNMB	81.8873453440417	-1.46452559570418	less	10	0
KYNU	70.3776861298025	-0.300382885949765	less	10	0
CLSPN	65.8660733666166	-0.236061401186956	greater	10	0
DCN	73.4816583459952	-0.394920292724487	less	10	0
FOXD1	77.5472107662252	0.62147755148597	greater	10	0
RP5-839B4.8	72.0154113305839	-0.390007933317115	less	10	0
RAMP1	59.3401345778163	-0.98844955705693	less	10	0
IL6	52.8245061862384	-0.217835365377735	greater	10	0
GNG11	54.1925331018016	-0.259920491363771	less	10	0
KIF2C	78.7953114825255	0.498206243867232	greater	10	0
IFI44L	71.8759496418494	-0.602276528414708	less	10	0
SCD	65.2192316040808	-0.848629306231864	less	10	0
DSTN	65.4135011938355	-0.363537056023303	less	10	0
CDA	50.0683742131541	0.038946566537508	greater	10	0
MFSD12	59.6548730193184	-0.6332880810776	less	10	0
C1R	68.004666811374	-0.848468269396753	less	10	0
HTRA1	69.8073583677014	-0.676285653751602	less	10	0
COL4A1	51.311591057087	-0.374823496001897	less	10	0
VMP1	61.7744736270892	-0.414521145085327	less	10	0
H2AFX	86.3479487736053	0.411775550141806	greater	10	0
CADM1	70.7510310397222	-0.848586396117946	less	10	0
NUF2	82.5873670501408	0.495005535545883	greater	10	0
UBE2T	87.9227262860858	0.644656737017332	greater	10	0
MAD2L1	83.9103538094198	0.48768800401509	greater	10	0
DUSP1	50.6560668547859	-0.0525674259044247	greater	10	0
SQSTM1	55.8508790970263	-0.425669039452564	less	10	0
NTRK2	50.2127197742566	-0.530449890356106	less	10	0
SGOL2	83.6856956804852	0.850185913682651	greater	10	0
AURKB	73.2087041458643	0.336374438659655	greater	10	0
JUN	59.7547210766225	-1.04911600235707	less	10	0
SOX4	70.4807901020187	-1.41496815811164	less	10	0
BAALC	50.6875406989364	-0.870110896816842	less	10	0
BTG1	67.9335793357934	-1.03398097445361	less	10	0
HIST1H2AC	70.4965270240938	-0.794128975864964	less	10	0
CDC25B	68.8278706316472	0.784884004115312	greater	10	0
HSD17B6	50.6191664857825	-0.396377752984187	less	10	0
MYBL2	62.5851964401995	0.125519844887616	greater	10	0
SMURF2	67.9037334490992	-0.0607193282235078	greater	10	0
TUBB4B	92.4039505100914	1.10462206970739	greater	10	0
TNFRSF11B	51.6995875841112	-0.194458887804692	less	10	0
GDF6	56.7652485348381	0.640133322338547	greater	10	0
FTH1	77.236813544606	-0.886786807730266	less	10	0
COTL1	76.6930757542862	1.76676184739816	greater	10	0
ATP2B1	62.0675059691773	-0.316997186156988	greater	10	0
GCLM	51.8922292164098	-0.768349751616666	less	10	0
CDC42EP3	57.5873670501409	0.439004625050835	greater	10	0
DDIT3	65.6566095072715	-0.705919464074906	less	10	0
SAMD9	53.7763186455394	-0.620045056667733	less	10	0
SLC12A8	70.0558932059909	-0.879304694269821	less	10	0
TRIB3	62.1299110049924	-0.773538743081306	less	10	0
AXL	77.5971347948775	0.240792734954432	greater	10	0
PCNA	63.0204037334494	-0.0172799111457646	greater	10	0
HJURP	73.6238332971567	0.467771333587185	greater	10	0
LIF	71.224224006946	-0.44645184681716	less	10	0
ERRFI1	55.9013457781635	-0.224905889700801	greater	10	0
GDF15	72.136965487302	-0.802013813959922	less	10	0
ATAD2	64.8827870631643	-0.311311935474682	greater	10	0
HHEX	51.4288039939223	-0.54709052271188	less	10	0
HMGB3	71.8433904927282	0.017030697872803	greater	10	0
FOXF2	68.1435858476232	-0.383743837489723	less	10	0
CCNA2	78.3649880616444	0.586423230125472	greater	10	0
PCSK2	71.0256131973084	-0.374110150474042	less	10	0
PHLDA1	58.7421315389626	1.45436634136984	greater	10	0
ZWINT	81.1916648578236	0.219167151383757	greater	10	0
KCNE4	79.4589754721077	-0.775957659646934	less	10	0
JUNB	50.0369003690038	1.01893779079703	greater	10	0
PRR11	84.5154113305838	0.245678977796528	greater	10	0
HN1	86.7571087475582	0.868836671895073	greater	10	0
TYMS	64.7623182114177	0.18544271087139	greater	10	0
COL5A2	61.3550032559149	0.0189416016007104	less	10	0
RPL22L1	54.2413718254829	-0.221327386123775	greater	10	0
FOS	70.5003255914912	-0.549393775855548	less	10	0
DAB2	76.3663989581072	-0.559564827863055	less	10	0
CEP55	86.5552420230076	0.395997413091192	greater	10	0
OSR2	76.8157152159757	-0.472757623934215	less	10	0
CKS1B	92.7924896896031	1.31530493194459	greater	10	0
TGM2	57.2064250054265	-0.477909662456586	less	10	0
ASPH	63.3177772954195	0.216471036981156	greater	10	0
C1S	71.8911439114392	-0.671253010105968	less	10	0
BDNF	54.8317777295421	-0.279506287387472	greater	10	0
MFGE8	68.054590840026	-1.07007292305416	less	10	0
LINC00968	77.8744302148904	-0.597302842664003	less	10	0
GBP1	58.1365313653137	-0.484554695037699	less	10	0
SDC2	57.2075103103972	-0.648780944531965	less	10	0
CBLN2	76.5324506186239	-0.0735359474995683	less	10	0
DDX58	62.2313870197526	-0.350779676630398	less	10	0
ABI3BP	61.560668547862	-0.576594411036749	less	10	0
ENPP2	57.908074668982	-0.510740362766852	less	10	0
AKR1C3	77.0154113305839	-0.278015653051314	less	10	0
BIRC7	77.4413935315824	-0.831071500023541	less	10	0
VCL	63.8332971565005	0.918271750433519	greater	10	0
IL7	75.7711091816801	-0.476683296077218	less	10	0
MCM4	65.6880833514214	-0.261466445300676	greater	10	0
HELLS	63.7128283047537	-0.249832814266085	greater	10	0
XAF1	62.9162144562622	-0.506482914302957	less	10	0
NUAK1	53.8897330149772	-0.816627704004899	less	10	0
F2RL2	69.6776644237031	-0.510545204040856	less	10	0
PRKCDBP	51.599739526807	-0.334238779500548	greater	10	0
TNXB	68.3335142174951	-0.244714016287671	less	10	0
ITGA1	52.4663555459083	-0.148823829411965	greater	10	0
ISG20	65.3977642717604	-0.509872141452314	less	10	0
WNT5A	74.0167136965483	0.38407573170133	greater	10	0
PARP14	54.2820707618841	-0.56283821152401	less	10	0
EGR1	55.0694595181243	0.261400852634712	greater	10	0
LTBP1	55.5920338615151	-0.0241318545149879	greater	10	0
IER2	62.69481224224	0.836008385306626	greater	10	0
FAM43A	67.4506186238333	-0.484322202857346	less	10	0
PRDM1	78.7068591274148	-0.484824715855778	less	10	0
TNFSF15	78.1131973084437	-0.192651869791986	less	10	0
UGCG	53.5695680486217	-0.290468864468001	greater	10	0
HEY1	68.3481658345995	-0.497982714107077	less	10	0
PRRX1	74.531148252659	-0.920109565722092	less	10	0
HGF	67.2134794877361	-0.324064927410722	less	10	0
FGF1	62.5775993054046	0.439298198035373	greater	10	0
APOBEC3B	83.6634469285862	0.269430393791004	greater	10	0
AC104654.2	72.9010201866725	-0.389909903423418	less	10	0
CNN1	62.7224875189928	-0.180667288415835	less	10	0
ITGA8	62.415888864771	-0.221272277091734	less	10	0
GREM2	63.1875406989364	-0.519418264346845	less	10	0
FGF19	67.5830258302583	-0.0856406108275007	less	10	0
SPATS2L	60.4243542435424	1.04887573744984	greater	10	0
IFITM3	69.2750162795746	-0.0852124839520888	less	10	0
PKDCC	61.4141523768179	-0.46427365739879	less	10	0
ECM1	50.7868461037552	-0.673879099259671	less	10	0
ANGPT1	66.6051660516605	-0.688672117632799	less	10	0
CCDC80	52.0208378554373	-0.036717776879767	greater	10	0
ENTPD1	74.627740395051	-0.478911665429816	less	10	0
OLFML2B	75.3391578033427	-0.57562364227479	less	10	0
GXYLT2	77.2411547644888	-0.776585432128437	less	10	0
HLA-C	59.5984371608417	0.300787639655886	greater	10	0
HLA-A	55.4010201866725	-0.241667607482164	less	10	0
NTN4	71.3153896244845	-0.319055631191834	less	10	0
OLFM2	78.1484697199913	-0.588752264126359	less	10	0
CAMK2N1	61.3902756674626	-0.539303360329507	less	10	0
ALCAM	70.866073366616	-0.808464071471424	less	10	0
VWA5A	76.1189494247883	-0.349072560561573	less	10	0
PTGER3	60.1459735185587	-0.111146304178023	less	10	0
WFDC1	75.9908834382462	-0.182122269901976	less	10	0
TUBB	87.7121771217707	1.7866228055938	greater	10	0
LY6E	60.5361406555242	0.216696966468142	less	10	0
MTSS1	71.4364011287172	-0.715244394806262	less	10	0
TMSB10	53.36444540916	0.328023478469934	less	10	0
KCNJ2	71.0321250271326	-0.399220193358524	less	10	0
CRIM1	66.2893423051875	0.727319181123295	greater	10	0
DDAH1	68.8137616670287	0.204280030561875	greater	10	0
RUNX1T1	75.3071413067072	-0.489792876484829	less	10	0
CTSC	54.876817885826	-0.637868216918183	less	10	0
DOK5	75.6218797482093	-0.299281100592333	less	10	0
CDKN1C	74.1458649880617	-0.216848052501234	less	10	0
SQLE	65.3462122856523	-0.519017635662498	less	10	0
AMIGO2	50.9968526155853	0.649779696215645	greater	10	0
HIST1H1B	57.7371391360972	0.818948613085117	greater	10	0
CHN1	65.4986976340352	-0.45014844729661	less	10	0
CHCHD10	71.0538311265466	-0.540000830679742	less	10	0
SEMA3D	72.850553505535	-0.584336152806106	less	10	0
AHR	52.3019318428476	0.333607148948542	greater	10	0
ZFP36L1	75.1649663555459	-1.14311401893774	less	10	0
PAG1	78.5250705448231	-0.974843046352122	less	10	0
FABP7	67.8250488387237	-0.367084961095014	less	10	0
NCAPG	75.3847406121125	0.4604641416258	greater	10	0
PLK2	58.3563056218797	-0.219619123268511	greater	10	0
FHL1	58.3606468417625	-0.464514101615897	less	10	0
PRRX2	69.3949424788366	-0.122864196889275	less	10	0
ARID5B	74.266333839809	-0.427658310337509	less	10	0
KCNMB1	63.0377686129803	-0.188860347194572	less	10	0
MCM7	64.3249403082267	0.0204928337957289	greater	10	0
CCNE2	63.2276969828522	-0.353515671015573	less	10	0
COL5A3	70.1986108096375	-0.476951547280799	less	10	0
BAMBI	69.5767310614283	-0.834665540217609	less	10	0
DCLK1	77.3475146516171	-0.390188263770839	less	10	0
CTSA	69.2923811591057	-0.184669362620372	less	10	0
CASP1	62.7121771217712	-0.49114839895705	less	10	0
MRVI1	70.4655958324289	-0.250056258729446	less	10	0
SPOCD1	60.393965704363	-0.103699995811548	greater	10	0
LMO4	50.1302365964835	-0.385591990753825	greater	10	0
PDE5A	65.144888213588	-0.475370633373386	less	10	0
CACNA2D3	55.8828955936621	1.1263726812024	greater	10	0
MSC	70.4791621445627	-0.764077015598921	less	10	0
HSPB1	59.7037117429998	-0.223644489522791	less	10	0
PERP	55.1996961146084	-0.0128510039587729	greater	10	0
PRCP	60.0265899717821	-0.724187795633379	less	10	0
EPDR1	69.2088126763621	-0.61182546815808	less	10	0
CARD16	70.7987844584328	-0.335491586367102	less	10	0
PCDH18	73.5315823746473	-0.416882878159402	less	10	0
PAPPA	67.1738658563056	-0.457021619190031	less	10	0
FAS	72.0566529194704	-0.475142238496249	less	10	0
TIMP2	73.1538962448448	-0.821406098338301	less	10	0
PDGFRA	63.8560885608856	-0.483414278860415	less	10	0
SPON2	76.8390492728457	-0.512594886674374	less	10	0
C10orf90	79.4909919687432	-0.425470593182285	less	10	0
TWISTNB	55.2192316040809	-0.0955202035540393	greater	10	0
SVIL	60.9398741046234	-0.665759219580659	less	10	0
PDLIM7	67.0425439548509	0.578028849849267	greater	10	0
KCTD12	75.0211634469286	-0.368446645939336	less	10	0
SDCBP	69.8686780985457	-0.600639500572101	less	10	0
DEPTOR	79.4209897981333	-0.377882197562685	less	10	0
PLXNC1	76.4646190579553	-0.567915982774807	less	10	0
LPL	76.5910570870415	-0.133355517931973	less	10	0
EXTL2	52.3127848925548	0.0968177118109945	less	10	0
CCDC102B	74.8323203820273	-0.439552352067325	less	10	0
MYL6	58.2200998480571	0.485485180647303	greater	10	0
ZFP36	59.1306707184719	-0.709313374219313	less	10	0
TERF1	57.3084436726719	-0.245082982126459	greater	10	0
CYGB	68.2939005860647	-0.737958229470369	less	10	0
LSP1	72.6400043412199	-0.143518440116422	less	10	0
CYP27A1	73.2879314087258	-0.814685832166327	less	10	0
STK17B	56.4695029303234	-0.337957150109588	less	10	0
FAT1	53.640112871717	0.39734587812899	less	10	0
ANK3	76.0972433253744	-0.268374907725566	less	10	0
ZEB1	52.0935532884737	0.288161058229637	greater	10	0
ADD3	67.6069025396137	-0.202368488434652	less	10	0
LASP1	50.6311048404602	-0.292583599779716	greater	10	0
FAM126A	57.0544823095292	0.26842825772601	greater	10	0
HSD11B1	72.0827002387671	-0.205380444494565	less	10	0
CMKLR1	60.3570653353593	-0.396383030934246	less	10	0
MICAL2	52.3681354460602	0.112796170663586	greater	10	0
KLF9	80.7955285435207	-0.733218855542098	less	10	0
CD81	68.1571521597569	-0.0244629261602679	less	10	0
